CustomerID,Age,Gender,Annual_Income_USD,Spending_Score,Membership_Status,Preferred_Payment_Method,Region,Total_Purchases,Avg_Purchase_Value,Last_Purchase_Date,Churn,Satisfaction_Score,Website_Visits_Last_Month,Avg_Time_Per_Visit_Minutes,Support_Tickets_Last_6_Months,Referred_Friends
2f8c8c58-4779-4006-aa23-81db3a352da3,56,Female,79228,73,Bronze,Cryptocurrency,Central,17,209.07,2025-05-01,0,2.3,7,3.01,0,1
4e6558a6-7f45-4f2a-8dfc-fb05210c5a54,69,Female,23205,65,Silver,Cryptocurrency,Central,21,25.6,2025-04-14,0,2.5,14,5.8,5,2
11ab8d14-6dd9-4a49-84cc-963431a8e6fc,46,Male,54929,68,Bronze,Debit Card,Central,25,105.48,2024-11-20,0,4.6,18,5.0,0,0
503e4ec0-42c7-4c2d-8cda-a480ad492b4b,32,Female,103384,71,Bronze,PayPal,Central,25,381.95,2024-08-22,1,4.9,20,5.98,5,0
841426ba-7371-43b1-9cba-036d07d6c85e,60,Male,53411,11,Silver,PayPal,West,24,319.19,2025-02-05,0,1.2,18,1.67,1,1
4116aebb-a059-4765-8257-242cb17f0da8,25,Other,100522,14,Platinum,Debit Card,South,20,489.43,2025-05-26,0,2.9,14,1.42,2,1
f33a6dbb-e083-43c2-a9a6-5211ea63ee22,38,Male,31628,83,Gold,Cryptocurrency,South,12,462.49,2024-12-09,0,2.6,13,1.33,4,2
487b6f5f-5b37-452c-abe5-33ae6d999ffa,56,Male,123655,3,Platinum,Debit Card,East,20,301.19,2024-06-26,1,3.9,20,7.08,0,2
e92f5f8b-8626-40ec-9bf5-64399b5b27c2,36,Male,90089,8,Silver,Cryptocurrency,South,18,85.92,2024-07-28,1,3.0,10,9.98,0,1
a9c9cdcd-63fd-454b-a25b-6df7370407e7,40,Female,26518,93,Silver,Cryptocurrency,Central,23,174.81,2025-04-14,0,1.3,19,5.44,1,1
f61f0193-e447-4423-91df-e27c5cf763e2,28,Female,58491,43,Gold,Credit Card,West,18,124.18,2024-12-02,0,1.7,16,3.53,1,1
9135e5e9-307c-4c5a-8aac-42fc65f8431f,28,Female,27946,9,Bronze,Debit Card,Central,23,240.55,2024-07-11,0,2.2,8,4.21,2,1
daf8eb67-96e7-4967-bbb3-6a9599311a02,41,Male,20610,19,Bronze,Debit Card,North,15,402.28,2024-09-04,1,4.1,19,8.21,2,1
95496f63-eff9-490a-a269-e6a6aa96f183,53,Male,89838,12,Bronze,Cryptocurrency,West,20,412.71,2024-12-05,0,4.1,8,6.34,0,0
016987b3-3273-476d-b90c-40915ecb5178,57,Male,54311,27,Bronze,Cryptocurrency,North,30,97.25,2025-05-14,1,4.1,12,4.24,1,1
2fe80605-9e9b-451d-99ae-c7b467efa7a4,41,Female,146419,58,Silver,Credit Card,North,27,279.05,2024-11-06,0,4.1,17,8.59,3,1
b8905cd0-d6ad-4384-a3b9-f91758912cd7,20,Male,119770,25,Silver,Cryptocurrency,East,16,341.6,2025-06-01,0,2.7,9,1.97,2,1
79ed9377-c174-48b2-b524-f5c6cbdec94b,39,Female,61876,45,Bronze,Cryptocurrency,North,17,204.35,2025-03-28,1,3.5,13,6.49,1,1
d23748cd-be3f-462d-9a06-f1658a19e45c,19,Female,100192,48,Platinum,PayPal,South,20,453.66,2024-07-05,0,1.6,11,3.18,3,2
59068815-1fa7-4452-af80-2dcb8f756871,41,Female,124540,50,Silver,Debit Card,South,16,185.92,2024-06-24,0,1.9,14,5.91,1,0
d656896f-6b96-42b3-bfa9-768ae894e697,61,Male,132023,81,Silver,Credit Card,North,20,250.17,2025-05-24,1,2.3,18,4.49,0,0
de84da66-69d1-411f-b449-bb7fc9757582,47,Male,70333,44,Platinum,Credit Card,East,28,297.55,2025-06-05,1,3.1,14,3.38,2,1
9ebd915a-bad0-4205-9a17-725fd8456c02,55,Male,149895,59,Bronze,Cryptocurrency,North,20,219.4,2025-05-17,0,1.7,17,3.59,1,1
65026183-84e2-4100-8cdc-c3c59679e18c,19,Female,71298,33,Gold,Debit Card,West,17,482.18,2025-01-30,0,4.5,11,6.69,0,0
be808f85-924a-4bbf-897a-255ca268b416,38,Female,104192,78,Bronze,PayPal,West,26,382.63,2025-05-14,0,3.5,14,2.32,0,0
4137ab7a-dc89-4ddd-b004-30c9d6c7b7a7,50,Male,61811,28,Silver,Credit Card,West,24,416.25,2024-09-23,0,3.1,16,5.61,1,2
43e88657-1292-4bff-98dc-154bbc2fdab9,29,Male,90072,18,Platinum,Cryptocurrency,West,15,378.79,2025-04-24,0,1.1,12,4.66,4,2
53d904e9-9e47-475d-9cfc-951e37bdd3b8,39,Female,135407,55,Silver,Debit Card,North,28,298.17,2025-01-07,1,3.2,14,4.72,3,0
29070918-891a-4756-87ba-38a4dafa76df,61,Female,139368,33,Bronze,PayPal,Central,19,23.8,2024-07-28,1,4.7,28,5.47,0,2
51da7e25-b587-47fc-8efb-3add01d2fd2b,42,Male,62974,15,Bronze,Debit Card,Central,14,384.72,2024-07-30,0,1.9,15,4.42,2,0
6cdc3524-c8bc-4651-ab6a-a51828952eaf,66,Female,39856,61,Bronze,Credit Card,West,13,310.22,2025-04-24,0,1.9,14,6.25,3,0
78a5d683-692e-45f5-a856-a393ef7a58e5,44,Male,121946,11,Gold,Cryptocurrency,East,23,49.56,2025-03-30,0,4.7,14,1.55,3,0
a1e0826f-f4b8-4bd7-9b7d-e12319f3a0df,59,Male,64830,36,Bronze,Cryptocurrency,East,27,68.11,2024-10-04,1,4.3,13,3.11,0,2
7b7a35be-adbd-4b3d-b090-8301e0bb9968,45,Female,101983,15,Bronze,Credit Card,North,15,245.78,2025-05-11,0,3.7,14,5.18,0,0
95163d90-314f-4b94-a81a-851b4b127fac,33,Female,65823,53,Gold,Credit Card,Central,28,427.89,2024-09-06,1,3.9,17,2.05,2,2
6163f2b5-405d-46fc-9190-de5ff2881037,32,Female,118863,62,Bronze,Debit Card,North,28,281.34,2024-09-06,0,1.2,14,5.25,1,0
887a0836-a990-46ff-b55c-584d8f7a74c2,64,Male,142134,48,Gold,Credit Card,South,21,460.61,2024-07-06,1,4.0,9,6.38,2,0
1255bfc1-b929-450f-b623-1742b77afa89,68,Female,120037,94,Bronze,Debit Card,West,21,409.67,2024-07-28,0,4.0,11,3.89,3,1
d45e410f-ae35-4931-90e8-9f5518cfb1d0,61,Male,94397,15,Bronze,Cryptocurrency,South,17,319.08,2025-06-03,0,1.2,18,6.98,3,0
33390e75-d94b-4a63-8a6a-db29287daba3,69,Male,105814,63,Bronze,PayPal,South,23,163.55,2025-01-08,0,4.2,12,3.57,1,0
92faceb5-3243-452a-8824-feebc5c91cd9,20,Female,87078,87,Platinum,Cryptocurrency,East,18,427.84,2024-06-22,0,3.6,11,5.14,2,0
c52f82d5-31cd-4e48-bcc3-79ba89ceea6e,54,Male,127767,43,Silver,Cryptocurrency,Central,20,333.0,2024-11-26,0,3.3,10,3.56,4,1
f2bd5b1b-18d5-4ebf-9bad-eb03ee7d487c,68,Female,87951,50,Bronze,PayPal,West,21,280.86,2024-12-01,0,3.1,15,7.36,2,0
a38d5fe6-dd1a-4af4-ac23-a5d8866cb707,24,Female,129287,60,Silver,PayPal,North,22,255.31,2025-04-12,0,3.1,16,6.2,1,0
515028dc-bfe5-4327-b828-b4624785497c,38,Male,32905,59,Silver,PayPal,West,23,114.28,2025-06-05,1,1.9,14,3.44,0,1
